#Table1
ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,color_gr,color_ug
37.0341890306821,-1.07651206851371,16.31544,14.28818,13.49742,13.99274,13.0724,0.79076,2.027262
37.0341923988481,-1.07651386113103,16.30394,14.29427,13.50068,14.04408,13.05844,0.7935848,2.009678
37.0341937998477,-1.07648575488143,16.32091,14.42743,13.49876,13.20422,13.05968,0.9286728,1.893478
37.0341942717901,-1.07653355143715,16.29558,14.28527,13.50129,13.20675,13.0669,0.7839756,2.01031
37.0341945295022,-1.07649419087364,16.35041,14.33944,13.49058,13.20079,13.06068,0.848856,2.010973
37.0342080395544,-1.07651007175551,16.3099,14.33973,13.50429,13.19809,13.05245,0.8354416,1.970174
37.0342091589981,-1.07651378688903,16.32849,14.3886,13.49988,13.20424,13.04195,0.8887272,1.939883
37.0342135551175,-1.07652987317566,16.34274,14.31571,14.33698,13.76239,13.0926,-0.02126694,2.027022
37.0342195917258,-1.07650577642556,16.59321,14.39867,13.38244,13.21028,13.25462,1.016227,2.194543
37.0342408750634,-1.07654439801677,16.33052,14.28383,14.3042,14.09526,13.05581,-0.02037239,2.046695
315.390721455229,4.44434291449127,15.73279,14.52319,14.05892,13.93399,13.85104,0.4642706,1.209599
102.423057612191,9.72291191347187,17.07198,14.84698,13.95997,14.81848,13.3253,0.8870058,2.225002
102.423088124265,-19.0676547010635,13.28361,12.20309,11.86798,11.7759,11.82132,0.3351097,1.080515
102.423089793116,-19.0676413811361,13.27341,12.25297,11.87881,11.78073,11.7758,0.374155,1.020445
102.423229154069,11.0148363433141,14.70336,13.68908,13.02234,10.88109,10.89295,0.6667385,1.014283
102.423304517199,17.3482552527785,16.02317,14.64641,14.17254,13.99142,13.93407,0.4738674,1.376769
102.42331938798,15.9771415652935,14.25808,14.41778,12.58458,12.47226,12.42069,1.8332,-0.1597013
102.423330156789,12.1637624597928,16.22807,14.78843,14.22744,14.02637,14.00094,0.5609913,1.43964
102.423337792575,10.3473083088893,15.90612,14.45842,14.35166,14.3595,14.37423,0.1067591,1.447699
102.423366912851,-18.6351060073931,15.39452,14.25714,13.85735,13.74191,13.71653,0.3997879,1.137387
102.423369457403,-18.6351215885374,15.37416,14.24769,13.85686,13.73369,13.72359,0.3908262,1.126476
102.423407484074,0.469785459745196,15.45135,14.04788,13.72046,16.933,13.45378,0.3274231,1.403468
66.971436793973,19.570150904622,16.59994,14.59618,13.6075,13.22713,12.94366,0.9886837,2.003757
257.352744214943,-0.983011364163543,16.25975,13.59228,12.43668,12.88173,11.65218,1.155599,2.667467
44.7357213761507,38.1102897078024,14.73603,12.65749,11.89147,11.59773,11.4392,0.7660198,2.078541
150.560091152867,22.1646066506789,17.27833,14.67995,13.24191,14.42882,12.09799,1.438039,2.598386
150.560154812724,49.6782774217035,15.72112,14.20154,13.7308,13.59757,13.5259,0.4707365,1.51958
150.560161464065,82.3653632613999,15.2239,14.10557,13.78695,13.65346,13.67724,0.3186178,1.118328
150.560164385235,49.6782680703868,15.71667,14.22574,13.82234,13.58325,13.52726,0.4033995,1.490929
320.963665217146,-2.89585648091246,15.68909,14.37437,13.85013,13.65311,13.55879,0.5242348,1.31472
320.963676981315,-2.89586894320421,15.69555,14.36801,13.86051,13.66984,13.55227,0.5074959,1.327538
320.963683184622,-2.89583661345931,15.6776,14.38449,13.81723,13.64183,13.55677,0.5672579,1.293109
320.96368673332,-2.89586916746908,15.8184,14.43685,13.9758,13.65338,13.5403,0.46105,1.381551
320.963691421688,5.16559339823181,13.77044,12.77797,12.31595,12.19401,12.18395,0.4620237,0.9924679
320.963699375441,5.16557773553447,13.79427,12.64667,12.30311,12.20333,12.19064,0.3435564,1.147601
320.963725237347,10.8334461592172,15.45104,14.3573,14.11185,13.99248,13.89614,0.245451,1.093737
320.963742904549,10.8334384542076,15.46549,14.36778,14.033,13.92507,13.87971,0.3347788,1.097713
320.963758077974,-9.89269526900196,16.85577,14.76749,14.05768,13.82446,13.74063,0.7098093,2.088284
115.772711391077,23.6301841775388,14.34093,13.15474,12.75248,12.63523,12.63089,0.4022598,1.186189
115.772729247673,23.6301808106735,14.33237,13.17556,12.78186,12.68087,12.60192,0.3937016,1.156816
115.77278142884,14.0143749227599,14.63685,13.30343,13.6171,12.78261,12.72604,-0.3136683,1.333421
115.772815443064,-11.3191364479115,17.0371,14.42745,13.43372,13.02859,12.77123,0.9937325,2.609649
257.258236227669,0.193188372963106,16.49484,14.46175,13.46055,12.98707,12.69965,1.001199,2.033092
257.258243655264,0.193197877990402,16.45679,14.44657,13.44102,12.98294,12.68462,1.005552,2.010214
257.258269803297,43.3239013636065,15.77007,14.50122,14.23328,14.0169,13.98528,0.2679358,1.268848
102.121668976272,27.6368568134745,14.09564,12.94441,12.5714,12.47594,12.49454,0.3730087,1.151235
102.121878124367,0.519645600501461,14.93897,14.79437,13.41867,17.07862,13.12767,1.375706,0.1446018
102.121980193856,-17.7825742894912,13.21576,12.23925,12.18914,12.28345,12.31852,0.050107,0.9765062
102.121981256978,-17.7825654615696,13.25146,12.2369,12.22232,12.29354,12.36479,0.01457977,1.014556
102.122056615679,-19.2136443820033,12.66064,11.65038,11.21577,12.36388,11.1592,0.4346094,1.010265
102.122061784887,-19.2135795039621,12.6477,11.70293,11.22786,11.15434,11.14091,0.4750729,0.944767
121.034840415682,29.0090378986841,12.74451,11.56293,11.33315,11.25043,11.27475,0.2297821,1.181586
121.034852211057,29.0090422737336,12.74582,11.70472,11.33601,11.27625,12.80317,0.3687181,1.041097
301.485025561891,59.1384626764819,16.28054,14.94754,14.47485,14.29007,14.22555,0.472683,1.333003
160.291535857706,3.04415241322264,13.64928,12.47778,12.05079,11.94033,11.91419,0.4269819,1.171508
160.291548609472,3.04415948444279,13.66666,12.47715,12.04456,11.94139,11.93167,0.4325886,1.189513
212.252583602546,62.3772406633619,15.86293,14.45031,13.93137,13.72099,13.61424,0.5189409,1.41262
